Study_accession	Field	DOID	Name	Match	Match Type
SDY1387	hypothesis	2841	asthma	ASTHMA	PREF
SDY1387	hypothesis	2841	asthma	ASTHMA	PREF
SDY1387	description	2841	asthma	ASTHMA	PREF
SDY1387	description	2841	asthma	ASTHMA	PREF
SDY1387	description	2841	asthma	ASTHMA	PREF
SDY1387	description	2841	asthma	ASTHMA	PREF
SDY291	endpoints	4	disease	DISEASE	PREF
SDY291	endpoints	4	disease	DISEASE	PREF
SDY291	hypothesis	10763	hypertension	HYPERTENSION	PREF
SDY291	hypothesis	576	proteinuria	PROTEINURIA	PREF
SDY1079	brief_title	1324	lung cancer	LUNG CANCER	PREF
SDY1079	brief_title	162	cancer	CANCER	PREF
SDY1079	condition_studied	1324	lung cancer	LUNG CANCER	PREF
SDY1079	condition_studied	162	cancer	CANCER	PREF
SDY1079	hypothesis	162	cancer	CANCER	PREF
SDY1079	description	1324	lung cancer	LUNG CANCER	PREF
SDY1079	description	1324	lung cancer	LUNG CANCER	PREF
SDY1079	description	162	cancer	CANCER	PREF
SDY1079	description	162	cancer	CANCER	PREF
SDY1079	description	162	cancer	CANCER	PREF
SDY1079	description	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1079	description	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY230	brief_title	3686	obsolete Helicobacter pylori infectious disease	HELICOBACTER PYLORI INFECTION	SYN
SDY230	description	3686	obsolete Helicobacter pylori infectious disease	HELICOBACTER PYLORI INFECTION	SYN
SDY230	description	4029	gastritis	GASTRITIS	PREF
SDY230	description	4	disease	DISEASE	PREF
SDY230	description	4	disease	DISEASE	PREF
SDY299	brief_title	2043	hepatitis B	HEPATITIS B	PREF
SDY299	brief_title	2237	hepatitis	HEPATITIS	PREF
SDY299	hypothesis	4	disease	DISEASE	PREF
SDY299	hypothesis	783	end stage renal failure	END STAGE RENAL FAILURE	PREF
SDY299	hypothesis	1074	kidney failure	RENAL FAILURE	SYN
SDY823	brief_title	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY823	brief_title	225	syndrome	SYNDROME	PREF
SDY823	condition_studied	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY823	condition_studied	225	syndrome	SYNDROME	PREF
SDY823	endpoints	4	disease	DISEASE	PREF
SDY823	description	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY823	description	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY823	description	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY823	description	225	syndrome	SYNDROME	PREF
SDY823	description	225	syndrome	SYNDROME	PREF
SDY823	description	225	syndrome	SYNDROME	PREF
SDY961	brief_title	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY961	brief_title	225	syndrome	SYNDROME	PREF
SDY961	condition_studied	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY961	condition_studied	225	syndrome	SYNDROME	PREF
SDY961	endpoints	1205	allergic hypersensitivity disease	HYPERSENSITIVITY	SYN
SDY961	hypothesis	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY961	hypothesis	225	syndrome	SYNDROME	PREF
SDY961	description	12894	Sjogren's syndrome	SJOGREN'S SYNDROME	PREF
SDY961	description	225	syndrome	SYNDROME	PREF
SDY465	description	1969	cerebral palsy	CEREBRAL PALSY	PREF
SDY241	brief_title	8469	influenza	INFLUENZA	PREF
SDY241	brief_title	934	viral infectious disease	VIRUS INFECTION	SYN
SDY241	condition_studied	8469	influenza	INFLUENZA	PREF
SDY241	hypothesis	934	viral infectious disease	VIRUS INFECTION	SYN
SDY241	description	8469	influenza	INFLUENZA	PREF
SDY241	description	8469	influenza	INFLUENZA	PREF
SDY661	brief_title	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY661	condition_studied	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY661	description	2378	relapsing-remitting multiple sclerosis	RELAPSING-REMITTING MULTIPLE SCLEROSIS	PREF
SDY661	description	2377	multiple sclerosis	MULTIPLE SCLEROSIS	PREF
SDY773	brief_title	8469	influenza	INFLUENZA	PREF
SDY773	hypothesis	2938	obsolete Epstein-Barr virus infectious disease	EBV INFECTION	SYN
SDY1324	brief_title	399	tuberculosis	TUBERCULOSIS	PREF
SDY1324	condition_studied	399	tuberculosis	TUBERCULOSIS	PREF
SDY1324	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY355	brief_title	4	disease	DISEASE	PREF
SDY355	condition_studied	4	disease	DISEASE	PREF
SDY355	hypothesis	4	disease	DISEASE	PREF
SDY355	description	4	disease	DISEASE	PREF
SDY660	condition_studied	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	condition_studied	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	endpoints	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	endpoints	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	endpoints	2841	asthma	ASTHMA	PREF
SDY660	endpoints	2841	asthma	ASTHMA	PREF
SDY660	endpoints	3044	food allergy	FOOD ALLERGY	PREF
SDY660	endpoints	6195	conjunctivitis	CONJUNCTIVITIS	PREF
SDY660	hypothesis	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	hypothesis	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	2723	dermatitis	ECZEMA	SYN
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	4378	peanut allergy	PEANUT ALLERGY	PREF
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	1205	allergic hypersensitivity disease	ALLERGY	SYN
SDY660	description	12017	obsolete group B streptococcal pneumonia	GROUP B	SYN
SDY113	brief_title	8469	influenza	INFLUENZA	PREF
SDY113	condition_studied	8469	influenza	INFLUENZA	PREF
SDY113	description	8469	influenza	INFLUENZA	PREF
SDY739	brief_title	8469	influenza	INFLUENZA	PREF
SDY739	condition_studied	8469	influenza	INFLUENZA	PREF
SDY739	endpoints	8469	influenza	INFLUENZA	PREF
SDY739	description	8469	influenza	INFLUENZA	PREF
SDY224	brief_title	8469	influenza	INFLUENZA	PREF
SDY224	description	8469	influenza	INFLUENZA	PREF
SDY224	description	8469	influenza	INFLUENZA	PREF
SDY210	brief_title	2841	asthma	ASTHMA	PREF
SDY210	brief_title	2841	asthma	ASTHMA	PREF
SDY210	condition_studied	2841	asthma	ASTHMA	PREF
SDY210	endpoints	2841	asthma	ASTHMA	PREF
SDY210	endpoints	2841	asthma	ASTHMA	PREF
SDY210	hypothesis	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY210	description	2841	asthma	ASTHMA	PREF
SDY89	brief_title	2043	hepatitis B	HEPATITIS B	PREF
SDY89	brief_title	2237	hepatitis	HEPATITIS	PREF
SDY89	hypothesis	4	disease	DISEASE	PREF
SDY89	hypothesis	783	end stage renal failure	END STAGE RENAL FAILURE	PREF
SDY89	hypothesis	1074	kidney failure	RENAL FAILURE	SYN
SDY314	brief_title	8469	influenza	INFLUENZA	PREF
SDY314	condition_studied	8469	influenza	INFLUENZA	PREF
SDY314	description	8469	influenza	FLU	SYN
SDY162	brief_title	1883	hepatitis C	HEPATITIS C	PREF
SDY162	brief_title	2237	hepatitis	HEPATITIS	PREF
SDY162	brief_title	934	viral infectious disease	VIRUS INFECTION	SYN
SDY162	condition_studied	1883	hepatitis C	HEPATITIS C	PREF
SDY162	condition_studied	2237	hepatitis	HEPATITIS	PREF
SDY162	condition_studied	934	viral infectious disease	VIRUS INFECTION	SYN
SDY1086	brief_title	8469	influenza	INFLUENZA	PREF
SDY1086	condition_studied	8469	influenza	INFLUENZA	PREF
SDY1086	description	12017	obsolete group B streptococcal pneumonia	GROUP B	SYN
SDY1086	description	8469	influenza	INFLUENZA	PREF
SDY305	brief_title	8469	influenza	INFLUENZA	PREF
SDY305	condition_studied	8469	influenza	INFLUENZA	PREF
SDY305	hypothesis	8469	influenza	INFLUENZA	PREF
SDY305	hypothesis	8469	influenza	INFLUENZA	PREF
SDY305	description	8469	influenza	INFLUENZA	PREF
SDY40	hypothesis	4	disease	DISEASE	PREF
SDY1368	brief_title	8659	chickenpox	VARICELLA	SYN
SDY1368	condition_studied	8659	chickenpox	VARICELLA	SYN
SDY1368	hypothesis	8659	chickenpox	VARICELLA	SYN
SDY1368	description	8659	chickenpox	VARICELLA	SYN
SDY939	brief_title	7148	rheumatoid arthritis	RHEUMATOID ARTHRITIS	PREF
SDY939	brief_title	848	arthritis	ARTHRITIS	PREF
SDY939	condition_studied	7148	rheumatoid arthritis	RHEUMATOID ARTHRITIS	PREF
SDY939	condition_studied	848	arthritis	ARTHRITIS	PREF
SDY939	hypothesis	7148	rheumatoid arthritis	RHEUMATOID ARTHRITIS	PREF
SDY939	hypothesis	848	arthritis	ARTHRITIS	PREF
SDY1064	brief_title	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	brief_title	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1064	condition_studied	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	condition_studied	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1064	endpoints	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	endpoints	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	endpoints	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1064	endpoints	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1064	hypothesis	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	hypothesis	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1064	hypothesis	162	cancer	CANCER	PREF
SDY1064	description	162	cancer	CANCER	PREF
SDY1064	description	162	cancer	CANCER	PREF
SDY1064	description	162	cancer	CANCER	PREF
SDY1064	description	162	cancer	CANCER	PREF
SDY1064	description	3910	lung adenocarcinoma	LUNG ADENOCARCINOMA	PREF
SDY1064	description	299	adenocarcinoma	ADENOCARCINOMA	PREF
SDY1364	brief_title	399	tuberculosis	TUBERCULOSIS	PREF
SDY1364	condition_studied	399	tuberculosis	TUBERCULOSIS	PREF
SDY1364	description	4	disease	DISEASE	PREF
SDY1364	description	3298	vaccinia	VACCINIA	PREF
SDY1364	description	399	tuberculosis	TUBERCULOSIS	PREF
SDY7	brief_title	3298	vaccinia	VACCINIA	PREF
SDY7	condition_studied	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY7	condition_studied	2723	dermatitis	DERMATITIS	PREF
SDY7	condition_studied	2723	dermatitis	ECZEMA	SYN
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	3298	vaccinia	VACCINIA	PREF
SDY7	endpoints	11405	diphtheria	DIPHTHERIA	PREF
SDY7	endpoints	11338	tetanus	TETANUS	PREF
SDY7	endpoints	1116	pertussis	PERTUSSIS	PREF
SDY7	endpoints	8622	measles	MEASLES	PREF
SDY7	endpoints	10264	mumps	MUMPS	PREF
SDY7	endpoints	8781	rubella	RUBELLA	PREF
SDY7	endpoints	8659	chickenpox	VARICELLA	SYN
SDY7	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY7	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY7	description	2723	dermatitis	ECZEMA	SYN
SDY614	brief_title	8736	smallpox	SMALLPOX	PREF
SDY614	condition_studied	3298	vaccinia	VACCINIA	PREF
SDY614	condition_studied	8736	smallpox	SMALLPOX	PREF
SDY614	endpoints	3298	vaccinia	VACCINIA	PREF
SDY614	endpoints	3298	vaccinia	VACCINIA	PREF
SDY614	endpoints	3298	vaccinia	VACCINIA	PREF
SDY614	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY614	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY614	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY614	description	8736	smallpox	SMALLPOX	PREF
SDY261	condition_studied	8469	influenza	INFLUENZA	PREF
SDY261	hypothesis	8469	influenza	INFLUENZA	PREF
SDY261	hypothesis	4	disease	DISEASE	PREF
SDY261	description	8469	influenza	INFLUENZA	PREF
SDY261	description	8469	influenza	INFLUENZA	PREF
SDY997	brief_title	8857	lupus erythematosus	LUPUS	SYN
SDY997	brief_title	8857	lupus erythematosus	LUPUS	SYN
SDY997	brief_title	0080162	lupus nephritis	LUPUS NEPHRITIS	PREF
SDY997	brief_title	10952	nephritis	NEPHRITIS	PREF
SDY997	condition_studied	0080162	lupus nephritis	LUPUS NEPHRITIS	PREF
SDY997	condition_studied	8857	lupus erythematosus	LUPUS	SYN
SDY997	condition_studied	10952	nephritis	NEPHRITIS	PREF
SDY997	hypothesis	8857	lupus erythematosus	LUPUS	SYN
SDY997	description	0080162	lupus nephritis	LUPUS NEPHRITIS	PREF
SDY997	description	0080162	lupus nephritis	LUPUS NEPHRITIS	PREF
SDY997	description	0080162	lupus nephritis	LUPUS NEPHRITIS	PREF
SDY997	description	8857	lupus erythematosus	LUPUS	SYN
SDY997	description	8857	lupus erythematosus	LUPUS	SYN
SDY997	description	8857	lupus erythematosus	LUPUS	SYN
SDY997	description	10952	nephritis	NEPHRITIS	PREF
SDY997	description	10952	nephritis	NEPHRITIS	PREF
SDY997	description	10952	nephritis	NEPHRITIS	PREF
SDY18	brief_title	8736	smallpox	SMALLPOX	PREF
SDY18	condition_studied	8736	smallpox	SMALLPOX	PREF
SDY18	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY18	description	8736	smallpox	SMALLPOX	PREF
SDY18	description	8736	smallpox	SMALLPOX	PREF
SDY18	description	3298	vaccinia	VACCINIA	PREF
SDY112	brief_title	8469	influenza	INFLUENZA	PREF
SDY112	condition_studied	8469	influenza	INFLUENZA	PREF
SDY112	hypothesis	8469	influenza	FLU	SYN
SDY112	description	8469	influenza	FLU	SYN
SDY63	brief_title	8469	influenza	INFLUENZA	PREF
SDY63	condition_studied	8469	influenza	INFLUENZA	PREF
SDY63	endpoints	8469	influenza	FLU	SYN
SDY63	endpoints	8469	influenza	FLU	SYN
SDY63	description	8469	influenza	INFLUENZA	PREF
SDY1426	brief_title	934	viral infectious disease	VIRUS INFECTION	SYN
SDY1426	endpoints	0060578	Noonan syndrome 1	NS1	SYN
SDY1426	description	4	disease	DISEASE	PREF
SDY368	brief_title	8469	influenza	INFLUENZA	PREF
SDY368	hypothesis	8469	influenza	INFLUENZA	PREF
SDY751	condition_studied	8469	influenza	INFLUENZA	PREF
SDY10	brief_title	3298	vaccinia	VACCINIA	PREF
SDY10	condition_studied	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY10	condition_studied	2723	dermatitis	DERMATITIS	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	endpoints	3298	vaccinia	VACCINIA	PREF
SDY10	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY10	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY10	hypothesis	3298	vaccinia	VACCINIA	PREF
SDY10	hypothesis	8736	smallpox	SMALLPOX	PREF
SDY10	description	37	skin disease	SKIN DISEASE	PREF
SDY10	description	4	disease	DISEASE	PREF
SDY10	description	8893	psoriasis	PSORIASIS	PREF
SDY10	description	2841	asthma	ASTHMA	PREF
SDY62	description	8469	influenza	INFLUENZA	PREF
SDY62	description	8469	influenza	INFLUENZA	PREF
SDY620	brief_title	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY620	brief_title	2723	dermatitis	DERMATITIS	PREF
SDY620	brief_title	8469	influenza	INFLUENZA	PREF
SDY620	condition_studied	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY620	condition_studied	2723	dermatitis	DERMATITIS	PREF
SDY620	endpoints	8469	influenza	INFLUENZA	PREF
SDY620	hypothesis	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY620	hypothesis	2723	dermatitis	DERMATITIS	PREF
SDY620	description	8469	influenza	INFLUENZA	PREF
SDY620	description	8469	influenza	INFLUENZA	PREF
SDY478	brief_title	8469	influenza	INFLUENZA	PREF
SDY478	condition_studied	8469	influenza	INFLUENZA	PREF
SDY478	description	8469	influenza	FLU	SYN
SDY56	brief_title	8469	influenza	INFLUENZA	PREF
SDY56	condition_studied	8469	influenza	INFLUENZA	PREF
SDY56	description	8469	influenza	INFLUENZA	PREF
SDY56	description	635	acquired immunodeficiency syndrome	AIDS	SYN
SDY1409	condition_studied	12365	malaria	MALARIA	PREF
SDY1409	hypothesis	12365	malaria	MALARIA	PREF
SDY1409	description	12365	malaria	MALARIA	PREF
SDY1409	description	12365	malaria	MALARIA	PREF
SDY1409	description	12365	malaria	MALARIA	PREF
SDY1409	description	4	disease	DISEASE	PREF
SDY1409	description	4	disease	DISEASE	PREF
SDY1409	description	4	disease	DISEASE	PREF
SDY311	brief_title	8469	influenza	INFLUENZA	PREF
SDY311	condition_studied	8469	influenza	INFLUENZA	PREF
SDY311	description	8469	influenza	FLU	SYN
SDY618	brief_title	8469	influenza	INFLUENZA	PREF
SDY618	condition_studied	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY618	condition_studied	2723	dermatitis	DERMATITIS	PREF
SDY618	endpoints	8469	influenza	INFLUENZA	PREF
SDY618	hypothesis	3310	atopic dermatitis	ATOPIC DERMATITIS	PREF
SDY618	hypothesis	2723	dermatitis	DERMATITIS	PREF
SDY20	brief_title	4	disease	DISEASE	PREF
SDY20	hypothesis	9588	encephalitis	ENCEPHALITIS	PREF
